epoch,train_loss,val_default_accuracy,val_default_average_precision,val_default_f1,val_default_precision,val_default_recall,val_default_predicted_positive_rate,val_default_cosine_average_precision,val_best_accuracy,val_accuracy_threshold,val_best_f1,val_f1_threshold,val_f1_threshold_precision,val_f1_threshold_recall,val_f1_threshold_predicted_positive_rate
1,0.16392292280703394,0.9863366336633663,0.013715685139173879,0.028169014084507043,0.047619047619047616,0.02,0.004158415841584159,0.013715685139173879,0.9900990099009901,0.990182399749756,0.049261083743842374,-0.9101723730564117,0.04854368932038835,0.05,0.010198019801980198
2,0.06366695338792625,0.9898019801980198,0.022129957982773146,0.0,0.0,0.0,0.000297029702970297,0.022129957982773146,0.9900990099009901,0.42266607284545904,0.059701492537313425,-1.8682231903076172,0.047619047619047616,0.08,0.016633663366336635
3,0.053290287645409766,0.9900990099009901,0.12049546517317354,0.0,0.0,0.0,0.0,0.12049546517317353,0.9903960396039604,-1.0303648710250854,0.21229050279329612,-1.983685553073883,0.24050632911392406,0.19,0.007821782178217822
4,0.039438482710291115,0.9901980198019802,0.4024770098918701,0.019801980198019802,1.0,0.01,9.900990099009902e-05,0.4024770098918701,0.9918811881188119,-1.2560468912124634,0.45685279187817257,-1.770754337310791,0.4639175257731959,0.45,0.009603960396039604
5,0.027597790706898807,0.9904950495049505,0.6526529274649921,0.07692307692307693,1.0,0.04,0.00039603960396039607,0.6526529274649921,0.9933663366336634,-1.1439540386199951,0.6244343891402714,-1.7633274793624878,0.5702479338842975,0.69,0.01198019801980198
6,0.020128942123918792,0.9907920792079208,0.6706706364474864,0.14678899082568808,0.8888888888888888,0.08,0.0008910891089108911,0.6706706364474864,0.9943564356435644,-1.1394416093826294,0.6775956284153004,-1.5450265407562256,0.7469879518072289,0.62,0.008217821782178218
7,0.015675122710813554,0.9924752475247525,0.7674583919723074,0.41538461538461546,0.9,0.27,0.0029702970297029703,0.7674583919723074,0.9952475247524752,-0.8586382865905762,0.7340425531914891,-1.180311918258667,0.7840909090909091,0.69,0.008712871287128714
8,0.012367177717679432,0.9925742574257426,0.7387771921465279,0.42748091603053445,0.9032258064516129,0.28,0.0030693069306930694,0.738777192146528,0.994950495049505,-1.0421781539916992,0.7078651685393258,-1.1912288665771484,0.8076923076923077,0.63,0.007722772277227723
9,0.00993099046555708,0.9931683168316832,0.7642501293220283,0.4963503649635037,0.918918918918919,0.34,0.003663366336633663,0.7642501293220284,0.9953465346534653,-1.054591178894043,0.7488151658767773,-1.711503028869629,0.7117117117117117,0.79,0.01099009900990099
10,0.00802248839338286,0.993960396039604,0.7737933147165339,0.5850340136054422,0.9148936170212766,0.43,0.004653465346534653,0.7737933147165339,0.9952475247524752,-0.4590463638305664,0.7551020408163266,-1.2203717231750488,0.7708333333333334,0.74,0.009504950495049505
