epoch,train_loss,val_default_accuracy,val_default_average_precision,val_default_f1,val_default_precision,val_default_recall,val_default_predicted_positive_rate,val_default_cosine_average_precision,val_best_accuracy,val_accuracy_threshold,val_best_f1,val_f1_threshold,val_f1_threshold_precision,val_f1_threshold_recall,val_f1_threshold_predicted_positive_rate
1,0.21559400197521078,0.9864356435643564,0.014419146501511925,0.028368794326241134,0.04878048780487805,0.02,0.0040594059405940595,0.014419146501511925,0.9900990099009901,0.65520977973938,0.03669724770642202,0.524701714515686,0.2222222222222222,0.02,0.0008910891089108911
2,0.07348393848043266,0.9900990099009901,0.024329988061724605,0.0,0.0,0.0,0.0,0.024330024302664368,0.9900990099009901,-0.10640907287597655,0.06329113924050635,-1.1886877417564392,0.08620689655172414,0.05,0.0057425742574257425
3,0.05633040765085347,0.9900990099009901,0.13224431727728092,0.0,0.0,0.0,0.0,0.13224431727728092,0.9902970297029703,-1.326708436012268,0.2337662337662338,-2.600113868713379,0.20610687022900764,0.27,0.01297029702970297
4,0.04478814773751959,0.9900990099009901,0.4255074639353512,0.0,0.0,0.0,0.0,0.4255074639353512,0.9917821782178218,-1.886217474937439,0.46153846153846156,-2.2529845237731934,0.47368421052631576,0.45,0.009405940594059406
5,0.03543765488071174,0.9900990099009901,0.631749554454952,0.0,0.0,0.0,0.0,0.6317495544549518,0.9932673267326733,-1.6772000789642334,0.6304347826086957,-1.9091510772705078,0.6904761904761905,0.58,0.008316831683168317
6,0.029320893605790092,0.9900990099009901,0.7333407556263023,0.0,0.0,0.0,0.0,0.7333407556263023,0.9944554455445545,-1.6554638147354126,0.6700507614213199,-1.8966184854507446,0.6804123711340206,0.66,0.009603960396039604
7,0.024332729844026995,0.9900990099009901,0.7715989152485392,0.0,0.0,0.0,0.0,0.7715989152485392,0.9952475247524752,-1.5272663831710815,0.7512195121951218,-1.6726592779159546,0.7333333333333333,0.77,0.010396039603960397
8,0.020375059047629956,0.9900990099009901,0.7875514278902239,0.0,0.0,0.0,0.0,0.7875514278902239,0.9955445544554455,-1.413053274154663,0.7783251231527093,-1.560145378112793,0.7669902912621359,0.79,0.010198019801980198
9,0.01732264460895154,0.9914851485148515,0.8012183770200343,0.24561403508771928,1.0,0.14,0.001386138613861386,0.8012183770200343,0.9956435643564356,-1.1444976329803467,0.7722772277227723,-1.3141276836395264,0.7647058823529411,0.78,0.0100990099009901
10,0.014614612259434924,0.9924752475247525,0.799421548113888,0.3968253968253968,0.9615384615384616,0.25,0.0025742574257425744,0.799421548113888,0.9957425742574257,-1.0845208168029785,0.7676767676767676,-1.4354217052459717,0.7755102040816326,0.76,0.009702970297029703
