epoch,train_loss,val_default_accuracy,val_default_average_precision,val_default_f1,val_default_precision,val_default_recall,val_default_predicted_positive_rate,val_default_cosine_average_precision,val_best_accuracy,val_accuracy_threshold,val_best_f1,val_f1_threshold,val_f1_threshold_precision,val_f1_threshold_recall,val_f1_threshold_predicted_positive_rate
1,0.17458212929189373,0.9888118811881188,0.01368726922778239,0.017391304347826087,0.06666666666666667,0.01,0.0014851485148514852,0.01368726922778239,0.9900990099009901,0.8913439512252809,0.028368794326241134,-0.1691584587097168,0.04878048780487805,0.02,0.0040594059405940595
2,0.06603517865094027,0.9898019801980198,0.021717471014012352,0.019047619047619046,0.2,0.01,0.0004950495049504951,0.021717471014012352,0.9900990099009901,0.3244364261627198,0.05420054200542005,-2.636383056640625,0.03717472118959108,0.1,0.026633663366336633
3,0.05414305378141033,0.9900990099009901,0.19685773370767914,0.0,0.0,0.0,0.0,0.19685773370767914,0.9906930693069307,-1.2120674848556519,0.28571428571428564,-1.8092069029808044,0.35294117647058826,0.24,0.006732673267326733
4,0.03803890379341119,0.9900990099009901,0.6446529928652512,0.0,0.0,0.0,0.0,0.6446529928652512,0.9936633663366337,-1.3955405950546265,0.6263736263736263,-1.6647101640701294,0.6951219512195121,0.57,0.008118811881188119
5,0.02803607931441245,0.9900990099009901,0.7343871638862133,0.0,0.0,0.0,0.0,0.7343871638862133,0.9952475247524752,-1.44839346408844,0.7333333333333334,-1.44839346408844,0.825,0.66,0.007920792079207921
6,0.02248693231213936,0.9903960396039604,0.7512756169582161,0.058252427184466014,1.0,0.03,0.000297029702970297,0.7512756169582161,0.9951485148514851,-1.2662253379821777,0.7252747252747254,-1.3668506145477295,0.8048780487804879,0.66,0.008118811881188119
7,0.018429874766235126,0.9921782178217822,0.7910650327192739,0.34710743801652894,1.0,0.21,0.0020792079207920793,0.7910650327192738,0.9953465346534653,-1.2850699424743652,0.7614213197969544,-1.2850699424743652,0.7731958762886598,0.75,0.009603960396039604
8,0.015569022760848787,0.9928712871287129,0.7815405123258625,0.46268656716417916,0.9117647058823529,0.31,0.0033663366336633663,0.7815405123258624,0.9951485148514851,-0.567645788192749,0.7282608695652173,-0.969597578048706,0.7976190476190477,0.67,0.008316831683168317
9,0.01319780161377929,0.9934653465346535,0.8165000420066297,0.5352112676056339,0.9047619047619048,0.38,0.004158415841584159,0.8165000420066297,0.9957425742574257,-0.5139415264129639,0.7707317073170733,-1.2434303760528564,0.7523809523809524,0.79,0.010396039603960397
10,0.011026206612070667,0.9937623762376238,0.8168292092499718,0.5594405594405595,0.9302325581395349,0.4,0.004257425742574258,0.8168292092499718,0.9955445544554455,-0.6825242042541504,0.7628865979381443,-1.170640468597412,0.7872340425531915,0.74,0.009306930693069307
