epoch,train_loss,val_default_accuracy,val_default_average_precision,val_default_f1,val_default_precision,val_default_recall,val_default_predicted_positive_rate,val_default_cosine_average_precision,val_best_accuracy,val_accuracy_threshold,val_best_f1,val_f1_threshold,val_f1_threshold_precision,val_f1_threshold_recall,val_f1_threshold_predicted_positive_rate
1,0.16630236618220806,0.9848514851485148,0.013427005454777248,0.012903225806451611,0.01818181818181818,0.01,0.005445544554455445,0.01342700545477725,0.9900990099009901,0.947304129600525,0.03018268467037331,-3.114924907684326,0.015715467328370553,0.38,0.2394059405940594
2,0.06729240267937796,0.99,0.023942221753663423,0.0,0.0,0.0,9.900990099009902e-05,0.023942221753663423,0.9900990099009901,0.23378372192382815,0.06965174129353234,-1.5683339834213257,0.06930693069306931,0.07,0.01
3,0.05254667745696611,0.9900990099009901,0.1733039233841785,0.0,0.0,0.0,0.0,0.1733039233841785,0.9906930693069307,-1.2555274963378906,0.2254901960784314,-2.1110057830810547,0.22115384615384615,0.23,0.010297029702970298
4,0.03785057051699977,0.9900990099009901,0.43175125050763635,0.0,0.0,0.0,0.0,0.43175125050763635,0.9918811881188119,-1.6653549671173096,0.46486486486486484,-2.1076886653900146,0.5058823529411764,0.43,0.008415841584158416
5,0.02679392608769031,0.9900990099009901,0.6663619010188856,0.0,0.0,0.0,0.0,0.6663619010188856,0.9935643564356436,-1.5268869400024414,0.6435643564356436,-1.832304835319519,0.6372549019607843,0.65,0.0100990099009901
6,0.020059035255861182,0.9906930693069307,0.7493319280918898,0.11320754716981131,1.0,0.06,0.000594059405940594,0.7493319280918899,0.9952475247524752,-1.3118566274642944,0.7419354838709676,-1.3118566274642944,0.8023255813953488,0.69,0.008514851485148515
7,0.015569574385242185,0.9918811881188119,0.761373307289516,0.33870967741935487,0.875,0.21,0.002376237623762376,0.761373307289516,0.995049504950495,-1.0279409885406494,0.731958762886598,-1.3596618175506592,0.7553191489361702,0.71,0.009306930693069307
8,0.012274774744349772,0.9927722772277228,0.7781932622129405,0.4427480916030534,0.9354838709677419,0.29,0.0030693069306930694,0.7781932622129404,0.9952475247524752,-1.014197587966919,0.7575757575757575,-1.43082594871521,0.7653061224489796,0.75,0.009702970297029703
9,0.009858525999264765,0.9937623762376238,0.8017677938250205,0.5594405594405595,0.9302325581395349,0.4,0.004257425742574258,0.8017677938250205,0.9958415841584158,-0.8267693519592285,0.7659574468085107,-1.1140148639678955,0.8181818181818182,0.72,0.008712871287128714
10,0.00785654051762385,0.9941584158415842,0.8002789913673164,0.593103448275862,0.9555555555555556,0.43,0.004455445544554455,0.8002789913673164,0.9955445544554455,-1.197396993637085,0.761904761904762,-1.197396993637085,0.8089887640449438,0.72,0.008811881188118811
