epoch,train_loss,val_default_accuracy,val_default_average_precision,val_default_f1,val_default_precision,val_default_recall,val_default_predicted_positive_rate,val_default_cosine_average_precision,val_best_accuracy,val_accuracy_threshold,val_best_f1,val_f1_threshold,val_f1_threshold_precision,val_f1_threshold_recall,val_f1_threshold_predicted_positive_rate
1,0.25737586224222847,0.9900990099009901,0.01640567569585496,0.0,0.0,0.0,0.0,0.01640567569585496,0.9900990099009901,-0.009583592414855955,0.04830917874396135,-0.6904388070106506,0.04672897196261682,0.05,0.010594059405940595
2,0.0826670289700487,0.9900990099009901,0.06095104558508742,0.0,0.0,0.0,0.0,0.06095104558508742,0.9902970297029703,-1.3109205961227417,0.11464968152866241,-1.9440149664878845,0.15789473684210525,0.09,0.005643564356435643
3,0.055705902446946474,0.9900990099009901,0.20562522797753122,0.0,0.0,0.0,0.0,0.20562522797753122,0.9905940594059406,-2.1406564712524414,0.26506024096385544,-2.6148823499679565,0.2214765100671141,0.33,0.014752475247524752
4,0.04521466303349265,0.9900990099009901,0.45328008063534486,0.0,0.0,0.0,0.0,0.4532800806353448,0.9921782178217822,-2.4009807109832764,0.48554913294797686,-2.5650066137313843,0.5753424657534246,0.42,0.007227722772277228
5,0.03927590855158307,0.9900990099009901,0.5932561925756769,0.0,0.0,0.0,0.0,0.5932561925756769,0.9930693069306931,-2.110231637954712,0.6162162162162161,-2.3342478275299072,0.6705882352941176,0.57,0.008415841584158416
6,0.03524266338055847,0.9900990099009901,0.6671143496339836,0.0,0.0,0.0,0.0,0.6671143496339836,0.9938613861386139,-1.7867647409439087,0.6376811594202898,-2.0773868560791016,0.616822429906542,0.66,0.010594059405940595
7,0.03173075127816932,0.9900990099009901,0.6870870493524678,0.0,0.0,0.0,0.0,0.6870870493524678,0.9942574257425743,-1.44533109664917,0.6666666666666666,-1.6428906917572021,0.6956521739130435,0.64,0.009108910891089108
8,0.029361775292123613,0.9900990099009901,0.7265618630085068,0.0,0.0,0.0,0.0,0.7265618630085069,0.9943564356435644,-1.217240333557129,0.6979166666666667,-1.5194425582885742,0.7282608695652174,0.67,0.009108910891089108
9,0.026755839156000674,0.9900990099009901,0.7554739145608964,0.0,0.0,0.0,0.0,0.7554739145608964,0.9951485148514851,-1.1532447338104248,0.7134502923976608,-1.1532447338104248,0.8591549295774648,0.61,0.00702970297029703
10,0.024860228103789114,0.9903960396039604,0.7811953811121504,0.058252427184466014,1.0,0.03,0.000297029702970297,0.7811953811121504,0.9952475247524752,-0.9709062576293945,0.7346938775510204,-1.0921683311462402,0.75,0.72,0.009504950495049505
